"protocol" "tgs" "np" "nc" "tf"
"cip" "000100" 104 134 0.776119402985075
"cip" "000001" 99 134 0.738805970149254
"dnp3" "000100" 206 235 0.876595744680851
"dnp3" "640000" 201 235 0.85531914893617
"dnp3" "040c01" 201 235 0.85531914893617
"dnp3" "016400" 201 235 0.85531914893617
"dnp3" "030164" 201 235 0.85531914893617
"dnp3" "010003" 201 235 0.85531914893617
"dnp3" "000301" 199 235 0.846808510638298
"dnp3" "0a0001" 198 235 0.842553191489362
"dnp3" "c40a00" 198 235 0.842553191489362
"dnp3" "c2040c" 198 235 0.842553191489362
"dnp3" "c1c204" 198 235 0.842553191489362
"dnp3" "00005b" 165 235 0.702127659574468
"eip" "000100" 45 57 0.789473684210526
"eip" "010000" 43 57 0.754385964912281
"ethernet" "000100" 149 193 0.772020725388601
"ethernet" "010000" 141 193 0.730569948186529
"ethersbus" "1d000a" 1 1 1
"ethersbus" "1a0152" 1 1 1
"ethersbus" "0152ea" 1 1 1
"ethersbus" "001500" 1 1 1
"ethersbus" "060000" 1 1 1
"ethersbus" "1bbc8b" 1 1 1
"ethersbus" "000d01" 1 1 1
"ethersbus" "0a1b1b" 1 1 1
"ethersbus" "1bcf87" 1 1 1
"ethersbus" "a60000" 1 1 1
"ethersbus" "0a0152" 1 1 1
"ethersbus" "04000a" 1 1 1
"ethersbus" "00001c" 1 1 1
"ethersbus" "a87f00" 1 1 1
"ethersbus" "1b000a" 1 1 1
"ethersbus" "0a1bca" 1 1 1
"ethersbus" "0002fd" 1 1 1
"ethersbus" "3c23c6" 1 1 1
"ethersbus" "0a00c4" 1 1 1
"ethersbus" "80b500" 1 1 1
"ethersbus" "9f4f00" 1 1 1
"ethersbus" "760000" 1 1 1
"ethersbus" "be0000" 1 1 1
"ethersbus" "4bec52" 1 1 1
"ethersbus" "000b3d" 1 1 1
"ethersbus" "30000b" 1 1 1
"ethersbus" "00002e" 1 1 1
"ethersbus" "21000a" 1 1 1
"ethersbus" "4f0000" 1 1 1
"ethersbus" "001900" 1 1 1
"ethersbus" "18000a" 1 1 1
"ethersbus" "ee0000" 1 1 1
"ethersbus" "040ec6" 1 1 1
"ethersbus" "01dda4" 1 1 1
"ethersbus" "001b00" 1 1 1
"ethersbus" "ef0000" 1 1 1
"ethersbus" "ea2e00" 1 1 1
"ethersbus" "b93300" 1 1 1
"ethersbus" "bc0000" 1 1 1
"ethersbus" "eb1c00" 1 1 1
"ethersbus" "018000" 1 1 1
"ethersbus" "ec5200" 1 1 1
"ethersbus" "850d00" 1 1 1
"ethersbus" "0a1b85" 1 1 1
"ethersbus" "000a1b" 1 1 1
"ethersbus" "0a1bf6" 1 1 1
"ethersbus" "170152" 1 1 1
"ethersbus" "0a0603" 1 1 1
"ethersbus" "0e000a" 1 1 1
"ethersbus" "000d00" 1 1 1
"ethersbus" "170000" 1 1 1
"ethersbus" "1e0200" 1 1 1
"ethersbus" "052700" 1 1 1
"ethersbus" "000527" 1 1 1
"ethersbus" "c90000" 1 1 1
"ethersbus" "0c0000" 1 1 1
"ethersbus" "980000" 1 1 1
"ethersbus" "180152" 1 1 1
"ethersbus" "001800" 1 1 1
"ethersbus" "001101" 1 1 1
"ethersbus" "11000a" 1 1 1
"ethersbus" "000003" 1 1 1
"ethersbus" "02014d" 1 1 1
"ethersbus" "001401" 1 1 1
"ethersbus" "545b00" 1 1 1
"ethersbus" "015259" 1 1 1
"ethersbus" "000033" 1 1 1
"ethersbus" "2045d9" 1 1 1
"ethersbus" "3000fa" 1 1 1
"ethersbus" "312c00" 1 1 1
"ethersbus" "0d0100" 1 1 1
"ethersbus" "001600" 1 1 1
"ethersbus" "060300" 1 1 1
"ethersbus" "5b0000" 1 1 1
"ethersbus" "040ebb" 1 1 1
"ethersbus" "dd0000" 1 1 1
"ethersbus" "1c0152" 1 1 1
"ethersbus" "7a0000" 1 1 1
"ethersbus" "015200" 1 1 1
"ethersbus" "000008" 1 1 1
"ethersbus" "000101" 1 1 1
"ethersbus" "001e01" 1 1 1
"ethersbus" "1d0152" 1 1 1
"ethersbus" "0a0600" 1 1 1
"ethersbus" "0a1bb9" 1 1 1
"ethersbus" "0152dc" 1 1 1
"ethersbus" "4c3100" 1 1 1
"ethersbus" "44324d" 1 1 1
"ethersbus" "06000a" 1 1 1
"ethersbus" "2e3a00" 1 1 1
"ethersbus" "b80000" 1 1 1
"ethersbus" "00001a" 1 1 1
"ethersbus" "001801" 1 1 1
"ethersbus" "001100" 1 1 1
"ethersbus" "0f0152" 1 1 1
"ethersbus" "dc2c00" 1 1 1
"ethersbus" "020000" 1 1 1
"ethersbus" "000002" 1 1 1
"ethersbus" "0a1e09" 1 1 1
"ethersbus" "a94d00" 1 1 1
"ethersbus" "fd5300" 1 1 1
"ethersbus" "0a510a" 1 1 1
"ethersbus" "03000a" 1 1 1
"ethersbus" "1b0000" 1 1 1
"ethersbus" "00000a" 1 1 1
"ethersbus" "0a1b05" 1 1 1
"ethersbus" "001301" 1 1 1
"ethersbus" "000012" 1 1 1
"ethersbus" "6f6465" 1 1 1
"ethersbus" "08014d" 1 1 1
"ethersbus" "b7e200" 1 1 1
"ethersbus" "00b7e2" 1 1 1
"ethersbus" "000e01" 1 1 1
"ethersbus" "530000" 1 1 1
"ethersbus" "3a0000" 1 1 1
"ethersbus" "e2b800" 1 1 1
"ethersbus" "000c00" 1 1 1
"ethersbus" "52588e" 1 1 1
"ethersbus" "8c0000" 1 1 1
"ethersbus" "3f0000" 1 1 1
"ethersbus" "c60000" 1 1 1
"ethersbus" "180000" 1 1 1
"ethersbus" "0a1b6d" 1 1 1
"ethersbus" "001e00" 1 1 1
"ethersbus" "01522d" 1 1 1
"ethersbus" "bca800" 1 1 1
"ethersbus" "00bca8" 1 1 1
"ethersbus" "590000" 1 1 1
"ethersbus" "f00000" 1 1 1
"ethersbus" "14000a" 1 1 1
"ethersbus" "0b0152" 1 1 1
"ethersbus" "004bec" 1 1 1
"ethersbus" "6c6c20" 1 1 1
"ethersbus" "014432" 1 1 1
"ethersbus" "015274" 1 1 1
"ethersbus" "00001f" 1 1 1
"ethersbus" "1b3cf0" 1 1 1
"ethersbus" "5200ec" 1 1 1
"ethersbus" "0d000a" 1 1 1
"ethersbus" "6c0000" 1 1 1
"ethersbus" "000005" 1 1 1
"ethersbus" "00c000" 1 1 1
"ethersbus" "000401" 1 1 1
"ethersbus" "5d8600" 1 1 1
"ethersbus" "205318" 1 1 1
"ethersbus" "000013" 1 1 1
"ethersbus" "001300" 1 1 1
"ethersbus" "12000a" 1 1 1
"ethersbus" "202000" 1 1 1
"ethersbus" "64656c" 1 1 1
"ethersbus" "1b850d" 1 1 1
"ethersbus" "b50000" 1 1 1
"ethersbus" "7f0000" 1 1 1
"ethersbus" "0a1b54" 1 1 1
"ethersbus" "dc0000" 1 1 1
"ethersbus" "017a19" 1 1 1
"ethersbus" "004c31" 1 1 1
"ethersbus" "00004c" 1 1 1
"ethersbus" "000a20" 1 1 1
"ethersbus" "000700" 1 1 1
"ethersbus" "002e3a" 1 1 1
"ethersbus" "00fac9" 1 1 1
"ethersbus" "001001" 1 1 1
"ethersbus" "002000" 1 1 1
"ethersbus" "df0000" 1 1 1
"ethersbus" "01521a" 1 1 1
"ethersbus" "52f12f" 1 1 1
"ethersbus" "526fbe" 1 1 1
"ethersbus" "000280" 1 1 1
"ethersbus" "324d34" 1 1 1
"ethersbus" "207481" 1 1 1
"ethersbus" "0004e2" 1 1 1
"ethersbus" "000a00" 1 1 1
"ethersbus" "e60000" 1 1 1
"ethersbus" "00bf6c" 1 1 1
"ethersbus" "dda45a" 1 1 1
"ethersbus" "0001dd" 1 1 1
"ethersbus" "090000" 1 1 1
"ethersbus" "bb2300" 1 1 1
"ethersbus" "000302" 1 1 1
"ethersbus" "0000c4" 1 1 1
"ethersbus" "1f000a" 1 1 1
"ethersbus" "52ea2e" 1 1 1
"ethersbus" "04ed76" 1 1 1
"ethersbus" "000004" 1 1 1
"ethersbus" "8000bf" 1 1 1
"ethersbus" "000400" 1 1 1
"ethersbus" "a3d800" 1 1 1
"ethersbus" "002100" 1 1 1
"ethersbus" "000010" 1 1 1
"ethersbus" "030000" 1 1 1
"ethersbus" "00000c" 1 1 1
"ethersbus" "001a01" 1 1 1
"ethersbus" "e0c500" 1 1 1
"ethersbus" "bc8b00" 1 1 1
"ethersbus" "303230" 1 1 1
"ethersbus" "002045" 1 1 1
"ethersbus" "02000a" 1 1 1
"ethersbus" "000a07" 1 1 1
"ethersbus" "8f0000" 1 1 1
"ethersbus" "001d01" 1 1 1
"ethersbus" "00d459" 1 1 1
"ethersbus" "0a0703" 1 1 1
"ethersbus" "1a5d00" 1 1 1
"ethersbus" "001f00" 1 1 1
"ethersbus" "0000b7" 1 1 1
"ethersbus" "0a1b9b" 1 1 1
"ethersbus" "0a1bbc" 1 1 1
"ethersbus" "04014d" 1 1 1
"ethersbus" "005d86" 1 1 1
"ethersbus" "1adf00" 1 1 1
"ethersbus" "0000d4" 1 1 1
"ethersbus" "3cf000" 1 1 1
"ethersbus" "c50000" 1 1 1
"ethersbus" "001201" 1 1 1
"ethersbus" "000800" 1 1 1
"ethersbus" "00001d" 1 1 1
"ethersbus" "0a1bcf" 1 1 1
"ethersbus" "000f01" 1 1 1
"ethersbus" "0f000a" 1 1 1
"ethersbus" "1beda6" 1 1 1
"ethersbus" "19a604" 1 1 1
"ethersbus" "000007" 1 1 1
"ethersbus" "00c43c" 1 1 1
"ethersbus" "002101" 1 1 1
"ethersbus" "001a00" 1 1 1
"ethersbus" "0a1b3c" 1 1 1
"ethersbus" "000011" 1 1 1
"ethersbus" "0c000a" 1 1 1
"ethersbus" "00000b" 1 1 1
"ethersbus" "060152" 1 1 1
"ethersbus" "23c600" 1 1 1
"ethersbus" "0a0000" 1 1 1
"ethersbus" "438f00" 1 1 1
"ethersbus" "001c01" 1 1 1
"ethersbus" "160152" 1 1 1
"ethersbus" "1b9eaa" 1 1 1
"ethersbus" "bf6c00" 1 1 1
"ethersbus" "000900" 1 1 1
"ethersbus" "7a0a00" 1 1 1
"ethersbus" "52438f" 1 1 1
"ethersbus" "2f0000" 1 1 1
"ethersbus" "270001" 1 1 1
"ethersbus" "310000" 1 1 1
"ethersbus" "748100" 1 1 1
"ethersbus" "050100" 1 1 1
"ethersbus" "000501" 1 1 1
"ethersbus" "45d900" 1 1 1
"ethersbus" "5d0000" 1 1 1
"ethersbus" "1b1b69" 1 1 1
"ethersbus" "001901" 1 1 1
"ethersbus" "000a02" 1 1 1
"ethersbus" "0000ed" 1 1 1
"ethersbus" "100152" 1 1 1
"ethersbus" "767a00" 1 1 1
"ethersbus" "01526e" 1 1 1
"ethersbus" "000300" 1 1 1
"ethersbus" "0a2053" 1 1 1
"ethersbus" "00001e" 1 1 1
"ethersbus" "1e0000" 1 1 1
"ethersbus" "000f00" 1 1 1
"ethersbus" "eda600" 1 1 1
"ethersbus" "070144" 1 1 1
"ethersbus" "07000a" 1 1 1
"ethersbus" "000006" 1 1 1
"ethersbus" "011000" 1 1 1
"ethersbus" "00312c" 1 1 1
"ethersbus" "74bf00" 1 1 1
"ethersbus" "a72c00" 1 1 1
"ethersbus" "001701" 1 1 1
"ethersbus" "000016" 1 1 1
"ethersbus" "b37e00" 1 1 1
"ethersbus" "120152" 1 1 1
"ethersbus" "00000e" 1 1 1
"ethersbus" "6c2020" 1 1 1
"ethersbus" "444e75" 1 1 1
"ethersbus" "001c00" 1 1 1
"ethersbus" "ed7600" 1 1 1
"ethersbus" "6e8c00" 1 1 1
"ethersbus" "1c0000" 1 1 1
"ethersbus" "000901" 1 1 1
"ethersbus" "0000a3" 1 1 1
"ethersbus" "01000a" 1 1 1
"ethersbus" "1bd198" 1 1 1
"ethersbus" "0000e0" 1 1 1
"ethersbus" "0004ed" 1 1 1
"ethersbus" "001400" 1 1 1
"ethersbus" "015258" 1 1 1
"ethersbus" "383032" 1 1 1
"ethersbus" "531800" 1 1 1
"ethersbus" "100100" 1 1 1
"ethersbus" "000020" 1 1 1
"ethersbus" "6ddd00" 1 1 1
"ethersbus" "1b80b5" 1 1 1
"ethersbus" "000019" 1 1 1
"ethersbus" "057600" 1 1 1
"ethersbus" "00ede6" 1 1 1
"ethersbus" "5259bc" 1 1 1
"ethersbus" "8b0000" 1 1 1
"ethersbus" "02225c" 1 1 1
"ethersbus" "000222" 1 1 1
"ethersbus" "200000" 1 1 1
"ethersbus" "c43c23" 1 1 1
"ethersbus" "000009" 1 1 1
"ethersbus" "0a1e02" 1 1 1
"ethersbus" "3d0000" 1 1 1
"ethersbus" "343830" 1 1 1
"ethersbus" "230000" 1 1 1
"ethersbus" "000100" 1 1 1
"ethersbus" "00000d" 1 1 1
"ethersbus" "0100bc" 1 1 1
"ethersbus" "000017" 1 1 1
"ethersbus" "001700" 1 1 1
"ethersbus" "16000a" 1 1 1
